affix	stem	stemPOS	derived	derivedPOS	type	relatedness_score	relatedness_class	quality_score	quality_class
-ous	exogamy	n	exogamous	j	train	NA	NA	NA	NA
-ous	calamity	n	calamitous	j	train	NA	NA	NA	NA
-ous	ostentation	n	ostentatious	j	train	NA	NA	NA	NA
-ous	cadaver	n	cadaverous	j	train	NA	NA	NA	NA
-ous	languor	n	languorous	j	train	NA	NA	NA	NA
-ous	adultery	n	adulterous	j	train	NA	NA	NA	NA
-ous	nerve	n	nervous	j	train	NA	NA	NA	NA
-ous	vein	n	venous	j	train	NA	NA	NA	NA
-ous	nitre	n	nitrous	j	train	NA	NA	NA	NA
-ous	enormity	n	enormous	j	train	NA	NA	NA	NA
-ous	conscience	n	conscientious	j	train	NA	NA	NA	NA
-ous	rigour	n	rigorous	j	train	NA	NA	NA	NA
-ous	courage	n	courageous	j	train	NA	NA	NA	NA
-ous	legume	n	leguminous	j	train	NA	NA	NA	NA
-ous	clamour	n	clamorous	j	train	NA	NA	NA	NA
-ous	injury	n	injurious	j	train	NA	NA	NA	NA
-ous	felicity	n	felicitous	j	train	NA	NA	NA	NA
-ous	treachery	n	treacherous	j	train	NA	NA	NA	NA
-ous	tendency	n	tendentious	j	train	NA	NA	NA	NA
-ous	miracle	n	miraculous	j	train	NA	NA	NA	NA
-ous	sulphur	n	sulphurous	j	train	NA	NA	NA	NA
-ous	fury	n	furious	j	train	NA	NA	NA	NA
-ous	bulb	n	bulbous	j	train	NA	NA	NA	NA
-ous	tedium	n	tedious	j	train	NA	NA	NA	NA
-ous	bigamy	n	bigamous	j	train	NA	NA	NA	NA
-ous	rancour	n	rancorous	j	train	NA	NA	NA	NA
-ous	ambition	n	ambitious	j	train	NA	NA	NA	NA
-ous	cacophony	n	cacophonous	j	train	NA	NA	NA	NA
-ous	scruple	n	scrupulous	j	train	NA	NA	NA	NA
-ous	synonym	n	synonymous	j	train	NA	NA	NA	NA
-ous	sense	n	sensuous	j	train	NA	NA	NA	NA
-ous	grief	n	grievous	j	train	NA	NA	NA	NA
-ous	valour	n	valorous	j	train	NA	NA	NA	NA
-ous	peril	n	perilous	j	train	NA	NA	NA	NA
-ous	gratuity	n	gratuitous	j	train	NA	NA	NA	NA
-ous	humour	n	humorous	j	train	NA	NA	NA	NA
-ous	gorge	n	gorgeous	j	train	NA	NA	NA	NA
-ous	uproar	n	uproarious	j	train	NA	NA	NA	NA
-ous	disadvantage	n	disadvantageous	j	train	NA	NA	NA	NA
-ous	venom	n	venomous	j	train	NA	NA	NA	NA
-ous	pore	n	porous	j	train	NA	NA	NA	NA
-ous	harmony	n	harmonious	j	train	NA	NA	NA	NA
-ous	villain	n	villainous	j	train	NA	NA	NA	NA
-ous	murder	n	murderous	j	train	NA	NA	NA	NA
-ous	thunder	n	thunderous	j	train	NA	NA	NA	NA
-ous	fame	n	famous	j	train	NA	NA	NA	NA
-ous	infection	n	infectious	j	train	NA	NA	NA	NA
-ous	zeal	n	zealous	j	train	NA	NA	NA	NA
-ous	luxury	n	luxurious	j	train	NA	NA	NA	NA
-ous	gluten	n	glutinous	j	train	NA	NA	NA	NA
-ous	multitude	n	multitudinous	j	train	NA	NA	NA	NA
-ous	avarice	n	avaricious	j	train	NA	NA	NA	NA
-ous	gangrene	n	gangrenous	j	train	NA	NA	NA	NA
-ous	marvel	n	marvellous	j	train	NA	NA	NA	NA
-ous	treason	n	treasonous	j	train	NA	NA	NA	NA
-ous	idolatry	n	idolatrous	j	train	NA	NA	NA	NA
-ous	delirium	n	delirious	j	train	NA	NA	NA	NA
-ous	monster	n	monstrous	j	train	NA	NA	NA	NA
-ous	androgyne	n	androgynous	j	train	NA	NA	NA	NA
-ous	cavern	n	cavernous	j	train	NA	NA	NA	NA
-ous	vice	n	vicious	j	train	NA	NA	NA	NA
-ous	grace	n	gracious	j	train	NA	NA	NA	NA
-ous	mutiny	n	mutinous	j	train	NA	NA	NA	NA
-ous	tyrant	n	tyrannous	j	train	NA	NA	NA	NA
-ous	spirit	n	spirituous	j	train	NA	NA	NA	NA
-ous	pomp	n	pompous	j	train	NA	NA	NA	NA
-ous	mountain	n	mountainous	j	train	NA	NA	NA	NA
-ous	chivalry	n	chivalrous	j	train	NA	NA	NA	NA
-ous	leper	n	leprous	j	train	NA	NA	NA	NA
-ous	nausea	n	nauseous	j	train	NA	NA	NA	NA
-ous	acrimony	n	acrimonious	j	train	NA	NA	NA	NA
-ous	oblivion	n	oblivious	j	train	NA	NA	NA	NA
-ous	fiction	n	fictitious	j	train	NA	NA	NA	NA
-ous	prestige	n	prestigious	j	train	NA	NA	NA	NA
-ous	caution	n	cautious	j	train	NA	NA	NA	NA
-ous	trouble	n	troublous	j	train	NA	NA	NA	NA
-ous	felony	n	felonious	j	train	NA	NA	NA	NA
-ous	tumult	n	tumultuous	j	train	NA	NA	NA	NA
-ous	sanctimony	n	sanctimonious	j	train	NA	NA	NA	NA
-ous	glamour	n	glamorous	j	train	NA	NA	NA	NA
-ous	lecher	n	lecherous	j	train	NA	NA	NA	NA
-ous	lustre	n	lustrous	j	train	NA	NA	NA	NA
-ous	contempt	n	contemptuous	j	train	NA	NA	NA	NA
-ous	scandal	n	scandalous	j	train	NA	NA	NA	NA
-ous	glutton	n	gluttonous	j	train	NA	NA	NA	NA
-ous	faction	n	factious	j	train	NA	NA	NA	NA
-ous	rebel	n	rebellious	j	train	NA	NA	NA	NA
-ous	disharmony	n	disharmonious	j	train	NA	NA	NA	NA
-ous	labour	n	laborious	j	train	NA	NA	NA	NA
-ous	venture	n	venturous	j	train	NA	NA	NA	NA
-ous	glory	n	glorious	j	train	NA	NA	NA	NA
-ous	eponym	n	eponymous	j	train	NA	NA	NA	NA
-ous	hide	n	hideous	j	train	NA	NA	NA	NA
-ous	dolour	n	dolorous	j	train	NA	NA	NA	NA
-ous	ubiquity	n	ubiquitous	j	train	NA	NA	NA	NA
-ous	advantage	n	advantageous	j	train	NA	NA	NA	NA
-ous	censor	n	censorious	j	train	NA	NA	NA	NA
-ous	riot	n	riotous	j	train	NA	NA	NA	NA
-ous	conifer	n	coniferous	j	train	NA	NA	NA	NA
-ous	poison	n	poisonous	j	train	NA	NA	NA	NA
-ous	libel	n	libellous	j	train	NA	NA	NA	NA
-ous	slander	n	slanderous	j	train	NA	NA	NA	NA
-ous	sinus	n	sinuous	j	train	NA	NA	NA	NA
-ous	vary	n	various	j	train	NA	NA	NA	NA
-ize	iodine	n	iodize	v	train	NA	NA	NA	NA
-ize	union	n	unionize	v	train	NA	NA	NA	NA
-ize	glamour	n	glamorize	v	train	NA	NA	NA	NA
-ize	regular	n	regularize	v	train	NA	NA	NA	NA
-ize	drama	n	dramatize	v	train	NA	NA	NA	NA
-ize	vandal	n	vandalize	v	train	NA	NA	NA	NA
-ize	computer	n	computerize	v	train	NA	NA	NA	NA
-ize	sympathy	n	sympathize	v	train	NA	NA	NA	NA
-ize	metabolism	n	metabolize	v	train	NA	NA	NA	NA
-ize	mobile	n	mobilize	v	train	NA	NA	NA	NA
-ize	philosophy	n	philosophize	v	train	NA	NA	NA	NA
-ize	human	n	humanize	v	train	NA	NA	NA	NA
-ize	cannibal	n	cannibalize	v	train	NA	NA	NA	NA
-ize	theory	n	theorize	v	train	NA	NA	NA	NA
-ize	polar	n	polarize	v	train	NA	NA	NA	NA
-ize	vocal	n	vocalize	v	train	NA	NA	NA	NA
-ize	ion	n	ionize	v	train	NA	NA	NA	NA
-ize	formal	n	formalize	v	train	NA	NA	NA	NA
-ize	romantic	n	romanticize	v	train	NA	NA	NA	NA
-ize	radical	n	radicalize	v	train	NA	NA	NA	NA
-ize	monopoly	n	monopolize	v	train	NA	NA	NA	NA
-ize	neutral	n	neutralize	v	train	NA	NA	NA	NA
-ize	atom	n	atomize	v	train	NA	NA	NA	NA
-ize	industrial	n	industrialize	v	train	NA	NA	NA	NA
-ize	special	n	specialize	v	train	NA	NA	NA	NA
-ize	capital	n	capitalize	v	train	NA	NA	NA	NA
-ize	military	n	militarize	v	train	NA	NA	NA	NA
-ize	general	n	generalize	v	train	NA	NA	NA	NA
-ize	woman	n	womanize	v	train	NA	NA	NA	NA
-ize	rubber	n	rubberize	v	train	NA	NA	NA	NA
-ize	italic	n	italicize	v	train	NA	NA	NA	NA
-ize	stable	n	stabilize	v	train	NA	NA	NA	NA
-ize	galvanism	n	galvanize	v	train	NA	NA	NA	NA
-ize	burglar	n	burglarize	v	train	NA	NA	NA	NA
-ize	satire	n	satirize	v	train	NA	NA	NA	NA
-ize	style	n	stylize	v	train	NA	NA	NA	NA
-ize	cautery	n	cauterize	v	train	NA	NA	NA	NA
-ize	evangel	n	evangelize	v	train	NA	NA	NA	NA
-ize	proselyte	n	proselytize	v	train	NA	NA	NA	NA
-ize	signal	n	signalize	v	train	NA	NA	NA	NA
-ize	transistor	n	transistorize	v	train	NA	NA	NA	NA
-ize	solemn	n	solemnize	v	train	NA	NA	NA	NA
-ize	terror	n	terrorize	v	train	NA	NA	NA	NA
-ize	national	n	nationalize	v	train	NA	NA	NA	NA
-ize	scandal	n	scandalize	v	train	NA	NA	NA	NA
-ize	subsidy	n	subsidize	v	train	NA	NA	NA	NA
-ize	motor	n	motorize	v	train	NA	NA	NA	NA
-ize	liberal	n	liberalize	v	train	NA	NA	NA	NA
-ize	apology	n	apologize	v	train	NA	NA	NA	NA
-ize	sensitive	n	sensitize	v	train	NA	NA	NA	NA
-ize	anthology	n	anthologize	v	train	NA	NA	NA	NA
-ize	international	n	internationalize	v	train	NA	NA	NA	NA
-ize	circular	n	circularize	v	train	NA	NA	NA	NA
-ize	local	n	localize	v	train	NA	NA	NA	NA
-ize	baptism	n	baptize	v	train	NA	NA	NA	NA
-ize	ideal	n	idealize	v	train	NA	NA	NA	NA
-ize	canon	n	canonize	v	train	NA	NA	NA	NA
-ize	final	n	finalize	v	train	NA	NA	NA	NA
-ize	total	n	totalize	v	train	NA	NA	NA	NA
-ize	synthesis	n	synthesize	v	train	NA	NA	NA	NA
-ize	public	n	publicize	v	train	NA	NA	NA	NA
-ize	category	n	categorize	v	train	NA	NA	NA	NA
-ize	immune	n	immunize	v	train	NA	NA	NA	NA
-ize	economy	n	economize	v	train	NA	NA	NA	NA
-ize	emphasis	n	emphasize	v	train	NA	NA	NA	NA
-ize	modern	n	modernize	v	train	NA	NA	NA	NA
-ize	revolution	n	revolutionize	v	train	NA	NA	NA	NA
-ize	rhapsody	n	rhapsodize	v	train	NA	NA	NA	NA
-ize	palatal	n	palatalize	v	train	NA	NA	NA	NA
-ize	particular	n	particularize	v	train	NA	NA	NA	NA
-ize	hospital	n	hospitalize	v	train	NA	NA	NA	NA
-ize	anaesthesia	n	anaesthetize	v	train	NA	NA	NA	NA
-ize	minimal	n	minimize	v	train	NA	NA	NA	NA
-ize	bastard	n	bastardize	v	train	NA	NA	NA	NA
-ize	antagonism	n	antagonize	v	train	NA	NA	NA	NA
-ize	critic	n	criticize	v	train	NA	NA	NA	NA
-ize	notary	n	notarize	v	train	NA	NA	NA	NA
-ize	magnet	n	magnetize	v	train	NA	NA	NA	NA
-ize	agony	n	agonize	v	train	NA	NA	NA	NA
-ize	mesmerism	n	mesmerize	v	train	NA	NA	NA	NA
-ize	idol	n	idolize	v	train	NA	NA	NA	NA
-ize	deputy	n	deputize	v	train	NA	NA	NA	NA
-ize	mechanic	n	mechanize	v	train	NA	NA	NA	NA
-ize	serial	n	serialize	v	train	NA	NA	NA	NA
-ize	patron	n	patronize	v	train	NA	NA	NA	NA
-ize	decimal	n	decimalize	v	train	NA	NA	NA	NA
-ize	stigma	n	stigmatize	v	train	NA	NA	NA	NA
-ize	hybrid	n	hybridize	v	train	NA	NA	NA	NA
-ize	ostracism	n	ostracize	v	train	NA	NA	NA	NA
-ize	epitome	n	epitomize	v	train	NA	NA	NA	NA
-ize	vapour	n	vaporize	v	train	NA	NA	NA	NA
-ize	anglicism	n	anglicize	v	train	NA	NA	NA	NA
-ize	editorial	n	editorialize	v	train	NA	NA	NA	NA
-ize	plagiarism	n	plagiarize	v	train	NA	NA	NA	NA
-ize	spiritual	n	spiritualize	v	train	NA	NA	NA	NA
-ize	central	n	centralize	v	train	NA	NA	NA	NA
-ize	symbol	n	symbolize	v	train	NA	NA	NA	NA
-ize	familiar	n	familiarize	v	train	NA	NA	NA	NA
-ize	eulogy	n	eulogize	v	train	NA	NA	NA	NA
-ize	anathema	n	anathematize	v	train	NA	NA	NA	NA
-ize	sermon	n	sermonize	v	train	NA	NA	NA	NA
-ize	canal	n	canalize	v	train	NA	NA	NA	NA
-ize	lion	n	lionize	v	train	NA	NA	NA	NA
-ize	individual	n	individualize	v	train	NA	NA	NA	NA
-ize	scrutiny	n	scrutinize	v	train	NA	NA	NA	NA
-able	appreciate	v	appreciable	j	train	NA	NA	NA	NA
-able	flame	v	flammable	j	train	NA	NA	NA	NA
-able	recover	v	recoverable	j	train	NA	NA	NA	NA
-able	explain	v	explicable	j	train	NA	NA	NA	NA
-able	quote	v	quotable	j	train	NA	NA	NA	NA
-able	touch	v	touchable	j	train	NA	NA	NA	NA
-able	work	v	workable	j	train	NA	NA	NA	NA
-able	dishonour	v	dishonourable	j	train	NA	NA	NA	NA
-able	perish	v	perishable	j	train	NA	NA	NA	NA
-able	account	v	accountable	j	train	NA	NA	NA	NA
-able	quantify	v	quantifiable	j	train	NA	NA	NA	NA
-able	adjust	v	adjustable	j	train	NA	NA	NA	NA
-able	envy	v	enviable	j	train	NA	NA	NA	NA
-able	consider	v	considerable	j	train	NA	NA	NA	NA
-able	repay	v	repayable	j	train	NA	NA	NA	NA
-able	apply	v	applicable	j	train	NA	NA	NA	NA
-able	declare	v	declarable	j	train	NA	NA	NA	NA
-able	think	v	thinkable	j	train	NA	NA	NA	NA
-able	receive	v	receivable	j	train	NA	NA	NA	NA
-able	notify	v	notifiable	j	train	NA	NA	NA	NA
-able	credit	v	creditable	j	train	NA	NA	NA	NA
-able	lock	v	lockable	j	train	NA	NA	NA	NA
-able	commend	v	commendable	j	train	NA	NA	NA	NA
-able	cash	v	cashable	j	train	NA	NA	NA	NA
-able	calculate	v	calculable	j	train	NA	NA	NA	NA
-able	use	v	usable	j	train	NA	NA	NA	NA
-able	discredit	v	discreditable	j	train	NA	NA	NA	NA
-able	pronounce	v	pronounceable	j	train	NA	NA	NA	NA
-able	like	v	likable	j	train	NA	NA	NA	NA
-able	alter	v	alterable	j	train	NA	NA	NA	NA
-able	equate	v	equable	j	train	NA	NA	NA	NA
-able	club	v	clubbable	j	train	NA	NA	NA	NA
-able	achieve	v	achievable	j	train	NA	NA	NA	NA
-able	laud	v	laudable	j	train	NA	NA	NA	NA
-able	ford	v	fordable	j	train	NA	NA	NA	NA
-able	refute	v	refutable	j	train	NA	NA	NA	NA
-able	favour	v	favourable	j	train	NA	NA	NA	NA
-able	justify	v	justifiable	j	train	NA	NA	NA	NA
-able	un	v	unable	j	train	NA	NA	NA	NA
-able	dispute	v	disputable	j	train	NA	NA	NA	NA
-able	dispose	v	disposable	j	train	NA	NA	NA	NA
-able	pity	v	pitiable	j	train	NA	NA	NA	NA
-able	transform	v	transformable	j	train	NA	NA	NA	NA
-able	detach	v	detachable	j	train	NA	NA	NA	NA
-able	advise	v	advisable	j	train	NA	NA	NA	NA
-able	inhabit	v	inhabitable	j	train	NA	NA	NA	NA
-able	classify	v	classifiable	j	train	NA	NA	NA	NA
-able	cultivate	v	cultivable	j	train	NA	NA	NA	NA
-able	love	v	lovable	j	train	NA	NA	NA	NA
-able	stretch	v	stretchable	j	train	NA	NA	NA	NA
-able	detect	v	detectable	j	train	NA	NA	NA	NA
-able	educate	v	educable	j	train	NA	NA	NA	NA
-able	separate	v	separable	j	train	NA	NA	NA	NA
-able	change	v	changeable	j	train	NA	NA	NA	NA
-able	count	v	countable	j	train	NA	NA	NA	NA
-able	question	v	questionable	j	train	NA	NA	NA	NA
-able	decipher	v	decipherable	j	train	NA	NA	NA	NA
-able	note	v	notable	j	train	NA	NA	NA	NA
-able	inflame	v	inflammable	j	train	NA	NA	NA	NA
-able	remedy	v	remediable	j	train	NA	NA	NA	NA
-able	attain	v	attainable	j	train	NA	NA	NA	NA
-able	vary	v	variable	j	train	NA	NA	NA	NA
-able	argue	v	arguable	j	train	NA	NA	NA	NA
-able	assign	v	assignable	j	train	NA	NA	NA	NA
-able	transport	v	transportable	j	train	NA	NA	NA	NA
-able	charge	v	chargeable	j	train	NA	NA	NA	NA
-able	describe	v	describable	j	train	NA	NA	NA	NA
-able	wash	v	washable	j	train	NA	NA	NA	NA
-able	conceive	v	conceivable	j	train	NA	NA	NA	NA
-able	excite	v	excitable	j	train	NA	NA	NA	NA
-able	remark	v	remarkable	j	train	NA	NA	NA	NA
-able	pardon	v	pardonable	j	train	NA	NA	NA	NA
-able	obtain	v	obtainable	j	train	NA	NA	NA	NA
-able	date	v	datable	j	train	NA	NA	NA	NA
-able	resolve	v	resolvable	j	train	NA	NA	NA	NA
-able	tax	v	taxable	j	train	NA	NA	NA	NA
-able	market	v	marketable	j	train	NA	NA	NA	NA
-able	recognize	v	recognizable	j	train	NA	NA	NA	NA
-able	eat	v	eatable	j	train	NA	NA	NA	NA
-able	answer	v	answerable	j	train	NA	NA	NA	NA
-able	print	v	printable	j	train	NA	NA	NA	NA
-able	determine	v	determinable	j	train	NA	NA	NA	NA
-able	interchange	v	interchangeable	j	train	NA	NA	NA	NA
-able	damn	v	damnable	j	train	NA	NA	NA	NA
-able	en	v	enable	j	train	NA	NA	NA	NA
-able	understand	v	understandable	j	train	NA	NA	NA	NA
-able	move	v	movable	j	train	NA	NA	NA	NA
-able	verify	v	verifiable	j	train	NA	NA	NA	NA
-able	approach	v	approachable	j	train	NA	NA	NA	NA
-able	purchase	v	purchasable	j	train	NA	NA	NA	NA
-able	navigate	v	navigable	j	train	NA	NA	NA	NA
-able	maintain	v	maintainable	j	train	NA	NA	NA	NA
-able	deplore	v	deplorable	j	train	NA	NA	NA	NA
-able	govern	v	governable	j	train	NA	NA	NA	NA
-able	deny	v	deniable	j	train	NA	NA	NA	NA
-able	perceive	v	perceivable	j	train	NA	NA	NA	NA
-able	remove	v	removable	j	train	NA	NA	NA	NA
-able	impeach	v	impeachable	j	train	NA	NA	NA	NA
-able	surmount	v	surmountable	j	train	NA	NA	NA	NA
-able	forgive	v	forgivable	j	train	NA	NA	NA	NA
-able	manage	v	manageable	j	train	NA	NA	NA	NA
-able	present	v	presentable	j	train	NA	NA	NA	NA
-able	accept	v	acceptable	j	train	NA	NA	NA	NA
-able	commute	v	commutable	j	train	NA	NA	NA	NA
-able	repair	v	reparable	j	train	NA	NA	NA	NA
-able	proportion	v	proportionable	j	train	NA	NA	NA	NA
-able	kiss	v	kissable	j	train	NA	NA	NA	NA
-able	discover	v	discoverable	j	train	NA	NA	NA	NA
-able	read	v	readable	j	train	NA	NA	NA	NA
-able	define	v	definable	j	train	NA	NA	NA	NA
-able	return	v	returnable	j	train	NA	NA	NA	NA
-able	laugh	v	laughable	j	train	NA	NA	NA	NA
-able	cure	v	curable	j	train	NA	NA	NA	NA
-able	play	v	playable	j	train	NA	NA	NA	NA
-able	wear	v	wearable	j	train	NA	NA	NA	NA
-able	renew	v	renewable	j	train	NA	NA	NA	NA
-able	notice	v	noticeable	j	train	NA	NA	NA	NA
-able	lament	v	lamentable	j	train	NA	NA	NA	NA
-able	imitate	v	imitable	j	train	NA	NA	NA	NA
-able	size	v	sizable	j	train	NA	NA	NA	NA
-able	ascertain	v	ascertainable	j	train	NA	NA	NA	NA
-able	penetrate	v	penetrable	j	train	NA	NA	NA	NA
-able	export	v	exportable	j	train	NA	NA	NA	NA
-able	switch	v	switchable	j	train	NA	NA	NA	NA
-able	endure	v	endurable	j	train	NA	NA	NA	NA
-able	regret	v	regrettable	j	train	NA	NA	NA	NA
-able	certify	v	certifiable	j	train	NA	NA	NA	NA
-able	adore	v	adorable	j	train	NA	NA	NA	NA
-able	prefer	v	preferable	j	train	NA	NA	NA	NA
-able	expend	v	expendable	j	train	NA	NA	NA	NA
-able	predict	v	predictable	j	train	NA	NA	NA	NA
-able	ply	v	pliable	j	train	NA	NA	NA	NA
-able	inflate	v	inflatable	j	train	NA	NA	NA	NA
-able	forget	v	forgettable	j	train	NA	NA	NA	NA
-able	allow	v	allowable	j	train	NA	NA	NA	NA
-able	suit	v	suitable	j	train	NA	NA	NA	NA
-able	imagine	v	imaginable	j	train	NA	NA	NA	NA
-able	retract	v	retractable	j	train	NA	NA	NA	NA
-able	permeate	v	permeable	j	train	NA	NA	NA	NA
-able	conform	v	conformable	j	train	NA	NA	NA	NA
-able	trace	v	traceable	j	train	NA	NA	NA	NA
-able	detest	v	detestable	j	train	NA	NA	NA	NA
-able	comfort	v	comfortable	j	train	NA	NA	NA	NA
-able	prevent	v	preventable	j	train	NA	NA	NA	NA
-able	measure	v	measurable	j	train	NA	NA	NA	NA
-able	employ	v	employable	j	train	NA	NA	NA	NA
-able	train	v	trainable	j	train	NA	NA	NA	NA
-able	redeem	v	redeemable	j	train	NA	NA	NA	NA
-able	alienate	v	alienable	j	train	NA	NA	NA	NA
-able	practise	v	practicable	j	train	NA	NA	NA	NA
-able	support	v	supportable	j	train	NA	NA	NA	NA
-able	admire	v	admirable	j	train	NA	NA	NA	NA
-able	replace	v	replaceable	j	train	NA	NA	NA	NA
-able	indict	v	indictable	j	train	NA	NA	NA	NA
-able	control	v	controllable	j	train	NA	NA	NA	NA
-able	service	v	serviceable	j	train	NA	NA	NA	NA
-able	estimate	v	estimable	j	train	NA	NA	NA	NA
-able	live	v	livable	j	train	NA	NA	NA	NA
-able	negotiate	v	negotiable	j	train	NA	NA	NA	NA
-able	spread	v	spreadable	j	train	NA	NA	NA	NA
-able	presume	v	presumable	j	train	NA	NA	NA	NA
-able	terminate	v	terminable	j	train	NA	NA	NA	NA
-able	pass	v	passable	j	train	NA	NA	NA	NA
-able	irritate	v	irritable	j	train	NA	NA	NA	NA
-able	season	v	seasonable	j	train	NA	NA	NA	NA
-able	execrate	v	execrable	j	train	NA	NA	NA	NA
-able	retrieve	v	retrievable	j	train	NA	NA	NA	NA
-able	number	v	numerable	j	train	NA	NA	NA	NA
-able	reason	v	reasonable	j	train	NA	NA	NA	NA
-able	enforce	v	enforceable	j	train	NA	NA	NA	NA
-able	value	v	valuable	j	train	NA	NA	NA	NA
-able	contest	v	contestable	j	train	NA	NA	NA	NA
-able	reuse	v	reusable	j	train	NA	NA	NA	NA
-able	punish	v	punishable	j	train	NA	NA	NA	NA
-able	venerate	v	venerable	j	train	NA	NA	NA	NA
-able	avoid	v	avoidable	j	train	NA	NA	NA	NA
-able	pleasure	v	pleasurable	j	train	NA	NA	NA	NA
-er	commission	v	commissioner	n	train	NA	NA	NA	NA
-er	fowl	v	fowler	n	train	NA	NA	NA	NA
-er	fasten	v	fastener	n	train	NA	NA	NA	NA
-er	warm	v	warmer	n	train	NA	NA	NA	NA
-er	booze	v	boozer	n	train	NA	NA	NA	NA
-er	buff	v	buffer	n	train	NA	NA	NA	NA
-er	wage	v	wager	n	train	NA	NA	NA	NA
-er	shunt	v	shunter	n	train	NA	NA	NA	NA
-er	adore	v	adorer	n	train	NA	NA	NA	NA
-er	wrangle	v	wrangler	n	train	NA	NA	NA	NA
-er	stutter	v	stutterer	n	train	NA	NA	NA	NA
-er	mend	v	mender	n	train	NA	NA	NA	NA
-er	modify	v	modifier	n	train	NA	NA	NA	NA
-er	stage	v	stager	n	train	NA	NA	NA	NA
-er	loiter	v	loiterer	n	train	NA	NA	NA	NA
-er	revel	v	reveller	n	train	NA	NA	NA	NA
-er	brood	v	brooder	n	train	NA	NA	NA	NA
-er	retain	v	retainer	n	train	NA	NA	NA	NA
-er	chronicle	v	chronicler	n	train	NA	NA	NA	NA
-er	murder	v	murderer	n	train	NA	NA	NA	NA
-er	bugle	v	bugler	n	train	NA	NA	NA	NA
-er	bank	v	banker	n	train	NA	NA	NA	NA
-er	oil	v	oiler	n	train	NA	NA	NA	NA
-er	accuse	v	accuser	n	train	NA	NA	NA	NA
-er	waste	v	waster	n	train	NA	NA	NA	NA
-er	fight	v	fighter	n	train	NA	NA	NA	NA
-er	transport	v	transporter	n	train	NA	NA	NA	NA
-er	wriggle	v	wriggler	n	train	NA	NA	NA	NA
-er	mourn	v	mourner	n	train	NA	NA	NA	NA
-er	conjure	v	conjurer	n	train	NA	NA	NA	NA
-er	dip	v	dipper	n	train	NA	NA	NA	NA
-er	clink	v	clinker	n	train	NA	NA	NA	NA
-er	observe	v	observer	n	train	NA	NA	NA	NA
-er	slog	v	slogger	n	train	NA	NA	NA	NA
-er	pursue	v	pursuer	n	train	NA	NA	NA	NA
-er	course	v	courser	n	train	NA	NA	NA	NA
-er	raid	v	raider	n	train	NA	NA	NA	NA
-er	sketch	v	sketcher	n	train	NA	NA	NA	NA
-er	sojourn	v	sojourner	n	train	NA	NA	NA	NA
-er	advertise	v	advertiser	n	train	NA	NA	NA	NA
-er	cut	v	cutter	n	train	NA	NA	NA	NA
-er	scoot	v	scooter	n	train	NA	NA	NA	NA
-er	purchase	v	purchaser	n	train	NA	NA	NA	NA
-er	peel	v	peeler	n	train	NA	NA	NA	NA
-er	turn	v	turner	n	train	NA	NA	NA	NA
-er	wear	v	wearer	n	train	NA	NA	NA	NA
-er	contend	v	contender	n	train	NA	NA	NA	NA
-er	cram	v	crammer	n	train	NA	NA	NA	NA
-er	drink	v	drinker	n	train	NA	NA	NA	NA
-er	plan	v	planner	n	train	NA	NA	NA	NA
-er	reproduce	v	reproducer	n	train	NA	NA	NA	NA
-er	pray	v	prayer	n	train	NA	NA	NA	NA
-er	lose	v	loser	n	train	NA	NA	NA	NA
-er	grow	v	grower	n	train	NA	NA	NA	NA
-er	divine	v	diviner	n	train	NA	NA	NA	NA
-er	plumb	v	plumber	n	train	NA	NA	NA	NA
-er	dream	v	dreamer	n	train	NA	NA	NA	NA
-er	dine	v	diner	n	train	NA	NA	NA	NA
-er	wave	v	waver	n	train	NA	NA	NA	NA
-er	vacation	v	vacationer	n	train	NA	NA	NA	NA
-er	retrieve	v	retriever	n	train	NA	NA	NA	NA
-er	crusade	v	crusader	n	train	NA	NA	NA	NA
-er	slave	v	slaver	n	train	NA	NA	NA	NA
-er	entertain	v	entertainer	n	train	NA	NA	NA	NA
-er	breathe	v	breather	n	train	NA	NA	NA	NA
-er	offend	v	offender	n	train	NA	NA	NA	NA
-er	bounce	v	bouncer	n	train	NA	NA	NA	NA
-er	log	v	logger	n	train	NA	NA	NA	NA
-er	break	v	breaker	n	train	NA	NA	NA	NA
-er	skulk	v	skulker	n	train	NA	NA	NA	NA
-er	tuck	v	tucker	n	train	NA	NA	NA	NA
-er	time	v	timer	n	train	NA	NA	NA	NA
-er	clinch	v	clincher	n	train	NA	NA	NA	NA
-er	loot	v	looter	n	train	NA	NA	NA	NA
-er	saw	v	sawyer	n	train	NA	NA	NA	NA
-er	convert	v	converter	n	train	NA	NA	NA	NA
-er	rot	v	rotter	n	train	NA	NA	NA	NA
-er	listen	v	listener	n	train	NA	NA	NA	NA
-er	mince	v	mincer	n	train	NA	NA	NA	NA
-er	howl	v	howler	n	train	NA	NA	NA	NA
-er	hew	v	hewer	n	train	NA	NA	NA	NA
-er	bungle	v	bungler	n	train	NA	NA	NA	NA
-er	tat	v	tatter	n	train	NA	NA	NA	NA
-er	stroll	v	stroller	n	train	NA	NA	NA	NA
-er	help	v	helper	n	train	NA	NA	NA	NA
-er	woo	v	wooer	n	train	NA	NA	NA	NA
-er	camp	v	camper	n	train	NA	NA	NA	NA
-er	outwork	v	outworker	n	train	NA	NA	NA	NA
-er	wrestle	v	wrestler	n	train	NA	NA	NA	NA
